,Местное время,T,meteostation
104890,2017-01-06 08:00:00,-17.8,Чермоз
104894,2017-01-05 08:00:00,-27.1,Чермоз
104898,2017-01-04 08:00:00,-18.6,Чермоз
104902,2017-01-03 08:00:00,-4.8,Чермоз
104906,2017-01-02 08:00:00,-1.2,Чермоз
104910,2017-01-01 08:00:00,-1.2,Чермоз
104914,2016-12-31 08:00:00,-4.5,Чермоз
104918,2016-12-30 08:00:00,-7.2,Чермоз
104923,2016-12-29 08:00:00,-3.5,Чермоз
104927,2016-12-28 08:00:00,-4.7,Чермоз
104931,2016-12-27 08:00:00,-8.9,Чермоз
104935,2016-12-26 08:00:00,-4.9,Чермоз
104942,2016-12-25 08:00:00,-6.1,Чермоз
104947,2016-12-24 08:00:00,-11.1,Чермоз
104952,2016-12-23 08:00:00,-20.8,Чермоз
104959,2016-12-22 08:00:00,-30.1,Чермоз
104964,2016-12-21 08:00:00,-24.8,Чермоз
104971,2016-12-20 08:00:00,-38.6,Чермоз
104978,2016-12-19 08:00:00,-24.0,Чермоз
104984,2016-12-18 08:00:00,-23.1,Чермоз
104988,2016-12-17 08:00:00,-24.2,Чермоз
104993,2016-12-16 08:00:00,-25.5,Чермоз
104997,2016-12-15 08:00:00,-22.0,Чермоз
105001,2016-12-14 08:00:00,-16.4,Чермоз
105007,2016-12-13 08:00:00,-14.0,Чермоз
105012,2016-12-12 08:00:00,-17.8,Чермоз
105018,2016-12-11 08:00:00,-14.6,Чермоз
105022,2016-12-10 08:00:00,-12.9,Чермоз
105027,2016-12-09 08:00:00,-21.8,Чермоз
105032,2016-12-08 08:00:00,-28.0,Чермоз
105037,2016-12-07 08:00:00,-15.0,Чермоз
105042,2016-12-06 08:00:00,-13.4,Чермоз
105048,2016-12-05 08:00:00,-16.3,Чермоз
105054,2016-12-04 08:00:00,-12.7,Чермоз
105060,2016-12-03 08:00:00,-14.8,Чермоз
105066,2016-12-02 08:00:00,-15.4,Чермоз
105071,2016-12-01 08:00:00,-14.9,Чермоз
105076,2016-11-30 08:00:00,-10.7,Чермоз
105080,2016-11-29 08:00:00,-5.6,Чермоз
105085,2016-11-28 08:00:00,-11.5,Чермоз
105090,2016-11-27 08:00:00,-10.2,Чермоз
105094,2016-11-26 08:00:00,-6.6,Чермоз
105098,2016-11-25 08:00:00,-5.2,Чермоз
105102,2016-11-24 08:00:00,-6.7,Чермоз
105106,2016-11-23 08:00:00,-5.5,Чермоз
105110,2016-11-22 08:00:00,-7.5,Чермоз
105116,2016-11-21 08:00:00,-11.7,Чермоз
105121,2016-11-20 08:00:00,-16.7,Чермоз
105128,2016-11-19 08:00:00,-19.7,Чермоз
105132,2016-11-18 08:00:00,-14.5,Чермоз
105137,2016-11-17 08:00:00,-17.3,Чермоз
105144,2016-11-16 08:00:00,-17.2,Чермоз
105152,2016-11-15 08:00:00,-29.5,Чермоз
105160,2016-11-14 08:00:00,-21.0,Чермоз
105165,2016-11-13 08:00:00,-9.0,Чермоз
105169,2016-11-12 08:00:00,-12.5,Чермоз
105174,2016-11-11 08:00:00,-11.5,Чермоз
105180,2016-11-10 08:00:00,-24.8,Чермоз
105188,2016-11-09 08:00:00,-13.2,Чермоз
105193,2016-11-08 08:00:00,-10.4,Чермоз
105197,2016-11-07 08:00:00,-9.0,Чермоз
105201,2016-11-06 08:00:00,-3.4,Чермоз
105206,2016-11-05 08:00:00,-5.1,Чермоз
105211,2016-11-04 08:00:00,-6.1,Чермоз
105216,2016-11-03 08:00:00,-9.2,Чермоз
105221,2016-11-02 08:00:00,-11.5,Чермоз
105225,2016-11-01 08:00:00,-6.1,Чермоз
105229,2016-10-31 08:00:00,-4.4,Чермоз
105234,2016-10-30 08:00:00,-2.4,Чермоз
105239,2016-10-29 08:00:00,-3.1,Чермоз
105246,2016-10-28 08:00:00,-2.6,Чермоз
105254,2016-10-27 08:00:00,-0.9,Чермоз
105261,2016-10-26 08:00:00,-0.4,Чермоз
105266,2016-10-25 08:00:00,-0.1,Чермоз
105271,2016-10-24 08:00:00,-0.5,Чермоз
105275,2016-10-23 08:00:00,-1.3,Чермоз
105279,2016-10-22 08:00:00,-1.2,Чермоз
105283,2016-10-21 08:00:00,-0.3,Чермоз
105287,2016-10-20 08:00:00,-0.6,Чермоз
105291,2016-10-19 08:00:00,0.2,Чермоз
105295,2016-10-18 08:00:00,1.3,Чермоз
105300,2016-10-17 08:00:00,-0.9,Чермоз
105308,2016-10-16 08:00:00,-0.5,Чермоз
105315,2016-10-15 08:00:00,0.6,Чермоз
105322,2016-10-14 08:00:00,0.2,Чермоз
105327,2016-10-13 08:00:00,0.7,Чермоз
105334,2016-10-12 08:00:00,0.8,Чермоз
105341,2016-10-11 08:00:00,0.9,Чермоз
105345,2016-10-10 08:00:00,3.3,Чермоз
105349,2016-10-09 08:00:00,1.1,Чермоз
105353,2016-10-08 08:00:00,1.1,Чермоз
105357,2016-10-07 08:00:00,3.3,Чермоз
105361,2016-10-06 08:00:00,3.0,Чермоз
105365,2016-10-05 08:00:00,7.4,Чермоз
105369,2016-10-04 08:00:00,7.4,Чермоз
105374,2016-10-03 08:00:00,5.8,Чермоз
105381,2016-10-02 08:00:00,8.3,Чермоз
105385,2016-10-01 08:00:00,7.4,Чермоз
105391,2016-09-30 08:00:00,6.5,Чермоз
105397,2016-09-29 08:00:00,7.2,Чермоз
105405,2016-09-28 08:00:00,8.7,Чермоз
105412,2016-09-27 08:00:00,9.3,Чермоз
105420,2016-09-26 08:00:00,5.6,Чермоз
105424,2016-09-25 08:00:00,11.7,Чермоз
105428,2016-09-24 08:00:00,13.1,Чермоз
105432,2016-09-23 08:00:00,12.0,Чермоз
105433,2016-09-22 08:00:00,6.0,Чермоз
105434,2016-09-21 08:00:00,8.3,Чермоз
105435,2016-09-20 08:00:00,7.8,Чермоз
105436,2016-09-19 08:00:00,9.3,Чермоз
105437,2016-09-18 08:00:00,9.4,Чермоз
105438,2016-09-17 08:00:00,6.3,Чермоз
105439,2016-09-16 08:00:00,8.9,Чермоз
105440,2016-09-15 08:00:00,7.6,Чермоз
105441,2016-09-14 08:00:00,7.9,Чермоз
105442,2016-09-13 08:00:00,8.5,Чермоз
105443,2016-09-12 08:00:00,9.0,Чермоз
105444,2016-09-11 08:00:00,7.3,Чермоз
105445,2016-09-10 08:00:00,10.0,Чермоз
105446,2016-09-09 08:00:00,6.3,Чермоз
105447,2016-09-08 08:00:00,4.7,Чермоз
105448,2016-09-07 08:00:00,7.3,Чермоз
105449,2016-09-06 08:00:00,13.8,Чермоз
105450,2016-09-05 08:00:00,13.4,Чермоз
105451,2016-09-04 08:00:00,14.6,Чермоз
105452,2016-09-03 08:00:00,14.4,Чермоз
105453,2016-09-02 08:00:00,13.6,Чермоз
105454,2016-09-01 08:00:00,15.1,Чермоз
105455,2016-08-31 08:00:00,12.4,Чермоз
105456,2016-08-29 08:00:00,8.9,Чермоз
105457,2016-08-28 08:00:00,15.6,Чермоз
105458,2016-08-27 08:00:00,13.0,Чермоз
105459,2016-08-26 08:00:00,15.8,Чермоз
105460,2016-08-24 08:00:00,21.5,Чермоз
105461,2016-08-23 08:00:00,21.4,Чермоз
105462,2016-08-22 08:00:00,22.0,Чермоз
105463,2016-08-21 08:00:00,19.7,Чермоз
105464,2016-08-19 08:00:00,19.9,Чермоз
105465,2016-08-18 08:00:00,19.4,Чермоз
105466,2016-08-17 08:00:00,17.9,Чермоз
105467,2016-08-16 08:00:00,22.2,Чермоз
105468,2016-08-14 08:00:00,23.3,Чермоз
105469,2016-08-13 08:00:00,20.2,Чермоз
105470,2016-08-12 08:00:00,22.1,Чермоз
105471,2016-08-11 08:00:00,19.6,Чермоз
105472,2016-08-09 08:00:00,22.5,Чермоз
105473,2016-08-08 08:00:00,21.8,Чермоз
105474,2016-08-07 08:00:00,19.9,Чермоз
105475,2016-08-06 08:00:00,16.7,Чермоз
105476,2016-08-04 08:00:00,23.7,Чермоз
105477,2016-08-03 08:00:00,23.0,Чермоз
105478,2016-08-02 08:00:00,20.2,Чермоз
105479,2016-08-01 08:00:00,21.7,Чермоз
105480,2015-07-10 08:00:00,13.4,Чермоз
105481,2015-07-09 08:00:00,12.3,Чермоз
105482,2015-07-08 08:00:00,10.2,Чермоз
105483,2015-07-07 08:00:00,7.3,Чермоз
105484,2015-07-06 08:00:00,10.1,Чермоз
105485,2015-07-05 08:00:00,12.8,Чермоз
105486,2015-07-04 08:00:00,9.7,Чермоз
105487,2015-07-03 08:00:00,13.0,Чермоз
105488,2015-07-02 08:00:00,14.2,Чермоз
105489,2015-07-01 08:00:00,13.8,Чермоз
105490,2015-06-30 08:00:00,13.7,Чермоз
105491,2015-06-29 08:00:00,22.1,Чермоз
105492,2015-06-28 08:00:00,20.6,Чермоз
105493,2015-06-27 08:00:00,18.2,Чермоз
105494,2015-06-26 08:00:00,14.8,Чермоз
105495,2015-06-25 08:00:00,16.3,Чермоз
105496,2015-06-24 08:00:00,21.7,Чермоз
105497,2015-06-23 08:00:00,23.1,Чермоз
105498,2015-06-22 08:00:00,23.8,Чермоз
105499,2015-06-21 08:00:00,20.2,Чермоз
105500,2015-06-20 08:00:00,18.7,Чермоз
105501,2015-06-19 08:00:00,12.8,Чермоз
105502,2015-06-18 08:00:00,16.5,Чермоз
105503,2015-06-17 08:00:00,17.1,Чермоз
105504,2015-06-16 08:00:00,20.3,Чермоз
105505,2015-06-15 08:00:00,15.2,Чермоз
105506,2015-06-14 08:00:00,11.1,Чермоз
105507,2015-06-13 08:00:00,11.8,Чермоз
105508,2015-06-12 08:00:00,12.6,Чермоз
105509,2015-06-11 08:00:00,10.6,Чермоз
105510,2015-06-10 08:00:00,8.3,Чермоз
105511,2015-06-09 08:00:00,10.5,Чермоз
105512,2015-06-08 08:00:00,14.2,Чермоз
105513,2015-06-07 08:00:00,16.4,Чермоз
105514,2015-06-06 08:00:00,14.8,Чермоз
105515,2015-06-05 08:00:00,18.7,Чермоз
105516,2015-06-04 08:00:00,19.3,Чермоз
105517,2015-06-03 08:00:00,19.8,Чермоз
105518,2015-06-02 08:00:00,20.1,Чермоз
105519,2015-06-01 08:00:00,21.6,Чермоз
105520,2015-05-31 08:00:00,20.4,Чермоз
105521,2015-05-30 08:00:00,18.7,Чермоз
105522,2015-05-29 08:00:00,17.2,Чермоз
105523,2015-05-28 08:00:00,15.8,Чермоз
105524,2015-05-27 08:00:00,12.3,Чермоз
105525,2015-05-26 08:00:00,10.0,Чермоз
105526,2015-05-25 08:00:00,9.3,Чермоз
105527,2015-05-24 08:00:00,11.8,Чермоз
105528,2015-05-23 08:00:00,12.2,Чермоз
105529,2015-05-22 08:00:00,12.1,Чермоз
105530,2015-05-21 08:00:00,12.6,Чермоз
105531,2015-05-20 08:00:00,10.5,Чермоз
105532,2015-05-19 08:00:00,8.5,Чермоз
105533,2015-05-18 08:00:00,8.8,Чермоз
105534,2015-05-17 08:00:00,11.3,Чермоз
105535,2015-05-16 08:00:00,14.0,Чермоз
105536,2015-05-15 08:00:00,12.2,Чермоз
105537,2015-05-14 08:00:00,10.8,Чермоз
105538,2015-05-13 08:00:00,10.9,Чермоз
105539,2015-05-12 08:00:00,10.1,Чермоз
105540,2015-05-11 08:00:00,7.5,Чермоз
105541,2015-05-10 08:00:00,4.8,Чермоз
105542,2015-05-09 08:00:00,3.0,Чермоз
105543,2015-05-08 08:00:00,4.5,Чермоз
105544,2015-05-07 08:00:00,4.6,Чермоз
105545,2015-05-06 08:00:00,2.1,Чермоз
105546,2015-05-05 08:00:00,12.5,Чермоз
105547,2015-05-04 08:00:00,13.3,Чермоз
105548,2015-05-03 08:00:00,9.2,Чермоз
105549,2015-05-02 08:00:00,4.0,Чермоз
105550,2015-05-01 08:00:00,11.2,Чермоз
105551,2015-04-30 08:00:00,6.3,Чермоз
105552,2015-04-29 08:00:00,2.6,Чермоз
105553,2015-04-28 08:00:00,1.3,Чермоз
105554,2015-04-27 08:00:00,-0.7,Чермоз
105555,2015-04-26 08:00:00,0.1,Чермоз
105556,2015-04-25 08:00:00,1.9,Чермоз
105557,2015-04-24 08:00:00,1.0,Чермоз
105558,2015-04-23 08:00:00,-0.8,Чермоз
105559,2015-04-22 08:00:00,1.3,Чермоз
105560,2015-04-21 08:00:00,1.5,Чермоз
105561,2015-04-20 08:00:00,0.8,Чермоз
105562,2015-04-19 08:00:00,0.4,Чермоз
105563,2015-04-18 08:00:00,1.1,Чермоз
105564,2015-04-17 08:00:00,1.9,Чермоз
105565,2015-04-16 08:00:00,4.7,Чермоз
105566,2015-04-15 08:00:00,-2.4,Чермоз
105567,2015-04-14 08:00:00,2.2,Чермоз
105568,2015-04-13 08:00:00,-3.4,Чермоз
105569,2015-04-12 08:00:00,1.1,Чермоз
105570,2015-04-11 08:00:00,-0.8,Чермоз
105571,2015-04-10 08:00:00,0.3,Чермоз
105572,2015-04-09 08:00:00,1.9,Чермоз
105573,2015-04-08 08:00:00,0.0,Чермоз
105574,2015-04-07 08:00:00,0.6,Чермоз
105575,2015-04-06 08:00:00,1.9,Чермоз
105576,2015-04-05 08:00:00,0.4,Чермоз
105577,2015-04-04 08:00:00,-1.2,Чермоз
105578,2015-04-03 08:00:00,-7.3,Чермоз
105579,2015-04-02 08:00:00,-6.9,Чермоз
105580,2015-04-01 08:00:00,-10.0,Чермоз
105581,2015-03-31 08:00:00,-11.0,Чермоз
105582,2015-03-30 08:00:00,-11.7,Чермоз
105583,2015-03-29 08:00:00,-12.9,Чермоз
105584,2015-03-28 08:00:00,-17.6,Чермоз
105585,2015-03-27 08:00:00,-15.5,Чермоз
105586,2015-03-26 08:00:00,-10.7,Чермоз
105587,2015-03-25 08:00:00,-4.3,Чермоз
105588,2015-03-24 08:00:00,-15.0,Чермоз
105589,2015-03-23 08:00:00,-13.8,Чермоз
105590,2015-03-22 08:00:00,-0.6,Чермоз
105591,2015-03-21 08:00:00,-2.5,Чермоз
105592,2015-03-20 08:00:00,-2.6,Чермоз
105593,2015-03-19 08:00:00,-5.6,Чермоз
105594,2015-03-18 08:00:00,-2.2,Чермоз
105595,2015-03-17 08:00:00,-9.7,Чермоз
105596,2015-03-16 08:00:00,-7.5,Чермоз
105597,2015-03-15 08:00:00,-0.3,Чермоз
105598,2015-03-14 08:00:00,-1.6,Чермоз
105599,2015-03-13 08:00:00,-3.7,Чермоз
105600,2015-03-12 08:00:00,0.7,Чермоз
105601,2015-03-11 08:00:00,-6.5,Чермоз
105602,2015-03-10 08:00:00,-0.7,Чермоз
105603,2015-03-09 08:00:00,-8.5,Чермоз
105604,2015-03-08 08:00:00,-16.8,Чермоз
105605,2015-03-07 08:00:00,-9.7,Чермоз
105606,2015-03-06 08:00:00,-7.7,Чермоз
105607,2015-03-05 08:00:00,-6.4,Чермоз
105608,2015-03-04 08:00:00,-16.9,Чермоз
105609,2015-03-03 08:00:00,-16.9,Чермоз
105610,2015-03-02 08:00:00,-13.0,Чермоз
105611,2015-03-01 08:00:00,-10.2,Чермоз
105612,2015-02-28 08:00:00,-11.9,Чермоз
105613,2015-02-27 08:00:00,-7.4,Чермоз
105614,2015-02-26 08:00:00,-10.4,Чермоз
105615,2015-02-25 08:00:00,-3.1,Чермоз
105616,2015-02-24 08:00:00,-0.6,Чермоз
105617,2015-02-23 08:00:00,-1.2,Чермоз
105618,2015-02-22 08:00:00,0.8,Чермоз
105619,2015-02-21 08:00:00,-6.8,Чермоз
105620,2015-02-20 08:00:00,-23.5,Чермоз
105621,2015-02-19 08:00:00,-20.8,Чермоз
105622,2015-02-18 08:00:00,-19.8,Чермоз
105623,2015-02-17 08:00:00,-25.9,Чермоз
105624,2015-02-16 08:00:00,-12.8,Чермоз
105625,2015-02-15 08:00:00,-7.0,Чермоз
105626,2015-02-14 08:00:00,-5.5,Чермоз
105627,2015-02-13 08:00:00,-0.1,Чермоз
105628,2015-02-12 08:00:00,-2.6,Чермоз
105629,2015-02-11 08:00:00,-8.6,Чермоз
105630,2015-02-10 08:00:00,-5.8,Чермоз
105631,2015-02-09 08:00:00,-14.0,Чермоз
105632,2015-02-08 08:00:00,-29.2,Чермоз
105633,2015-02-07 08:00:00,-28.5,Чермоз
105634,2015-02-06 08:00:00,-6.5,Чермоз
105635,2015-02-05 08:00:00,-3.5,Чермоз
105636,2015-02-04 08:00:00,-4.5,Чермоз
105637,2015-02-03 08:00:00,-3.7,Чермоз
105638,2015-02-02 08:00:00,-6.9,Чермоз
105639,2015-02-01 08:00:00,-10.4,Чермоз
105640,2015-01-31 08:00:00,-14.6,Чермоз
105641,2015-01-30 08:00:00,-14.3,Чермоз
105642,2015-01-29 08:00:00,-12.3,Чермоз
105643,2015-01-28 08:00:00,-15.7,Чермоз
105644,2015-01-27 08:00:00,-14.8,Чермоз
105645,2015-01-26 08:00:00,-10.9,Чермоз
105646,2015-01-25 08:00:00,-13.9,Чермоз
105647,2015-01-24 08:00:00,-33.4,Чермоз
105648,2015-01-23 08:00:00,-36.6,Чермоз
105649,2015-01-22 08:00:00,-20.7,Чермоз
105650,2015-01-21 08:00:00,-12.2,Чермоз
105651,2015-01-20 08:00:00,-24.0,Чермоз
105652,2015-01-19 08:00:00,-1.5,Чермоз
105653,2015-01-18 08:00:00,-3.7,Чермоз
105654,2015-01-17 08:00:00,-5.8,Чермоз
105655,2015-01-16 08:00:00,-2.1,Чермоз
105656,2015-01-15 08:00:00,-4.0,Чермоз
105657,2015-01-14 08:00:00,-2.2,Чермоз
105658,2015-01-13 08:00:00,-3.1,Чермоз
105659,2015-01-12 08:00:00,-7.4,Чермоз
105660,2015-01-11 08:00:00,-8.5,Чермоз
105661,2015-01-10 08:00:00,-32.2,Чермоз
105662,2015-01-09 08:00:00,-35.4,Чермоз
105663,2015-01-08 08:00:00,-35.4,Чермоз
105664,2015-01-07 08:00:00,-26.4,Чермоз
105665,2015-01-06 08:00:00,-2.7,Чермоз
105666,2015-01-05 08:00:00,-1.8,Чермоз
105667,2015-01-04 08:00:00,-3.2,Чермоз
105668,2015-01-03 08:00:00,-16.8,Чермоз
105669,2015-01-02 08:00:00,-34.6,Чермоз
105670,2015-01-01 08:00:00,-33.4,Чермоз
105671,2014-12-31 08:00:00,-16.5,Чермоз
105672,2014-12-30 08:00:00,-11.5,Чермоз
105673,2014-12-29 08:00:00,-14.6,Чермоз
105674,2014-12-28 08:00:00,-12.6,Чермоз
105675,2014-12-27 08:00:00,-15.6,Чермоз
105676,2014-12-26 08:00:00,-11.6,Чермоз
105677,2014-12-25 08:00:00,-6.0,Чермоз
105678,2014-12-24 08:00:00,-8.2,Чермоз
105679,2014-12-23 08:00:00,-6.3,Чермоз
105680,2014-12-22 08:00:00,-1.0,Чермоз
105681,2014-12-21 08:00:00,-1.1,Чермоз
105682,2014-12-20 08:00:00,-5.1,Чермоз
105683,2014-12-19 08:00:00,-2.7,Чермоз
105684,2014-12-18 08:00:00,-4.5,Чермоз
105685,2014-12-17 08:00:00,-3.2,Чермоз
105686,2014-12-16 08:00:00,-6.6,Чермоз
105687,2014-12-15 08:00:00,0.2,Чермоз
105688,2014-12-14 08:00:00,-2.2,Чермоз
105689,2014-12-13 08:00:00,-2.4,Чермоз
105690,2014-12-12 08:00:00,-8.2,Чермоз
105691,2014-12-11 08:00:00,-7.2,Чермоз
105692,2014-12-10 08:00:00,-9.6,Чермоз
105693,2014-12-09 08:00:00,-10.3,Чермоз
105694,2014-12-08 08:00:00,-2.5,Чермоз
105695,2014-12-07 08:00:00,-11.8,Чермоз
105696,2014-12-06 08:00:00,-30.3,Чермоз
105697,2014-12-05 08:00:00,-16.1,Чермоз
105698,2014-12-04 08:00:00,-25.6,Чермоз
105699,2014-12-03 08:00:00,-24.0,Чермоз
105700,2014-12-02 08:00:00,-29.0,Чермоз
105701,2014-12-01 08:00:00,-5.2,Чермоз
105702,2014-11-30 08:00:00,-4.0,Чермоз
105703,2014-11-29 08:00:00,-2.8,Чермоз
105704,2014-11-28 08:00:00,-7.8,Чермоз
105705,2014-11-27 08:00:00,-17.8,Чермоз
105706,2014-11-26 08:00:00,-6.1,Чермоз
105707,2014-11-25 08:00:00,-8.6,Чермоз
105708,2014-11-24 08:00:00,-23.9,Чермоз
105709,2014-11-23 08:00:00,-10.3,Чермоз
105710,2014-11-22 08:00:00,-1.1,Чермоз
105711,2014-11-21 08:00:00,-0.1,Чермоз
105712,2014-11-20 08:00:00,-4.4,Чермоз
105713,2014-11-19 08:00:00,-3.3,Чермоз
105714,2014-11-18 08:00:00,-7.4,Чермоз
105715,2014-11-17 08:00:00,-9.8,Чермоз
105716,2014-11-16 08:00:00,-9.8,Чермоз
105717,2014-11-15 08:00:00,-7.8,Чермоз
105718,2014-11-14 08:00:00,-4.9,Чермоз
105719,2014-11-13 08:00:00,1.5,Чермоз
105720,2014-11-12 08:00:00,0.2,Чермоз
105721,2014-11-11 08:00:00,0.0,Чермоз
105722,2014-11-10 08:00:00,0.3,Чермоз
105723,2014-11-09 08:00:00,-8.2,Чермоз
105724,2014-11-08 08:00:00,-15.1,Чермоз
105725,2014-11-07 08:00:00,-7.7,Чермоз
105726,2014-11-06 08:00:00,0.5,Чермоз
105727,2014-11-05 08:00:00,-0.6,Чермоз
105728,2014-11-04 08:00:00,-2.9,Чермоз
105729,2014-11-03 08:00:00,-8.3,Чермоз
105730,2014-11-02 08:00:00,-5.0,Чермоз
105731,2014-11-01 08:00:00,-1.1,Чермоз
105732,2014-10-31 08:00:00,1.3,Чермоз
105733,2014-10-30 08:00:00,1.6,Чермоз
105734,2014-10-29 08:00:00,1.3,Чермоз
105735,2014-10-28 08:00:00,-2.0,Чермоз
105736,2014-10-27 08:00:00,-8.6,Чермоз
105737,2014-10-26 08:00:00,-16.5,Чермоз
105738,2014-10-25 08:00:00,-9.4,Чермоз
105739,2014-10-24 08:00:00,-7.4,Чермоз
105740,2014-10-23 08:00:00,-8.0,Чермоз
105741,2014-10-22 08:00:00,-8.3,Чермоз
105742,2014-10-21 08:00:00,-17.4,Чермоз
105743,2014-10-20 08:00:00,-8.5,Чермоз
105744,2014-10-19 08:00:00,-4.4,Чермоз
105745,2014-10-18 08:00:00,-3.7,Чермоз
105746,2014-10-17 08:00:00,-6.0,Чермоз
105747,2014-10-16 08:00:00,-2.4,Чермоз
105748,2014-10-15 08:00:00,0.4,Чермоз
105749,2014-10-14 08:00:00,-0.7,Чермоз
105750,2014-10-13 08:00:00,-0.6,Чермоз
105751,2014-10-12 08:00:00,-1.9,Чермоз
105752,2014-10-11 08:00:00,-3.9,Чермоз
105753,2014-10-10 08:00:00,2.1,Чермоз
105754,2014-10-09 08:00:00,3.5,Чермоз
105755,2014-10-08 08:00:00,4.8,Чермоз
105756,2014-10-07 08:00:00,0.9,Чермоз
105757,2014-10-06 08:00:00,2.7,Чермоз
105758,2014-10-05 08:00:00,2.5,Чермоз
105759,2014-10-04 08:00:00,3.4,Чермоз
105760,2014-10-03 08:00:00,2.4,Чермоз
105761,2014-10-02 08:00:00,5.0,Чермоз
105762,2014-10-01 08:00:00,8.6,Чермоз
105763,2014-09-30 08:00:00,5.7,Чермоз
105764,2014-09-29 08:00:00,9.1,Чермоз
105765,2014-09-28 08:00:00,6.7,Чермоз
105766,2014-09-27 08:00:00,5.8,Чермоз
105767,2014-09-26 08:00:00,7.7,Чермоз
105768,2014-09-25 08:00:00,6.4,Чермоз
105769,2014-09-24 08:00:00,5.5,Чермоз
105770,2014-09-23 08:00:00,5.8,Чермоз
105771,2014-09-22 08:00:00,8.9,Чермоз
105772,2014-09-21 08:00:00,7.1,Чермоз
105773,2014-09-20 08:00:00,8.9,Чермоз
105774,2014-09-19 08:00:00,6.1,Чермоз
105775,2014-09-18 08:00:00,1.8,Чермоз
105776,2014-09-17 08:00:00,2.5,Чермоз
105777,2014-09-16 08:00:00,4.0,Чермоз
105778,2014-09-15 08:00:00,2.5,Чермоз
105779,2014-09-14 08:00:00,4.8,Чермоз
105780,2014-09-13 08:00:00,12.7,Чермоз
105781,2014-09-12 08:00:00,10.5,Чермоз
105782,2014-09-11 08:00:00,7.0,Чермоз
105783,2014-09-10 08:00:00,2.6,Чермоз
105784,2014-09-09 08:00:00,8.6,Чермоз
105785,2014-09-08 08:00:00,3.3,Чермоз
105786,2014-09-07 08:00:00,6.7,Чермоз
105787,2014-09-06 08:00:00,11.0,Чермоз
105788,2014-09-05 08:00:00,8.5,Чермоз
105789,2014-09-04 08:00:00,11.7,Чермоз
105790,2014-09-03 08:00:00,9.0,Чермоз
105791,2014-09-02 08:00:00,6.5,Чермоз
105792,2014-09-01 08:00:00,6.5,Чермоз
105793,2014-08-31 08:00:00,10.2,Чермоз
105794,2014-08-30 08:00:00,13.6,Чермоз
105795,2014-08-29 08:00:00,14.3,Чермоз
105796,2014-08-28 08:00:00,13.9,Чермоз
105797,2014-08-27 08:00:00,14.0,Чермоз
105798,2014-08-26 08:00:00,10.2,Чермоз
105799,2014-08-25 08:00:00,9.8,Чермоз
105800,2014-08-24 08:00:00,12.4,Чермоз
105801,2014-08-23 08:00:00,16.8,Чермоз
105802,2014-08-22 08:00:00,15.9,Чермоз
105803,2014-08-21 08:00:00,15.8,Чермоз
105804,2014-08-20 08:00:00,14.7,Чермоз
105805,2014-08-19 08:00:00,15.3,Чермоз
105806,2014-08-18 08:00:00,14.7,Чермоз
105807,2014-08-17 08:00:00,17.6,Чермоз
105808,2014-08-16 08:00:00,17.9,Чермоз
105809,2014-08-15 08:00:00,16.0,Чермоз
105810,2014-08-14 08:00:00,13.4,Чермоз
105811,2014-08-13 08:00:00,11.4,Чермоз
105812,2014-08-12 08:00:00,10.8,Чермоз
105813,2014-08-11 08:00:00,18.6,Чермоз
105814,2014-08-10 08:00:00,21.7,Чермоз
105815,2014-08-09 08:00:00,21.4,Чермоз
105816,2014-08-08 08:00:00,19.5,Чермоз
105817,2014-08-07 08:00:00,17.7,Чермоз
105818,2014-08-06 08:00:00,17.6,Чермоз
105819,2014-08-05 08:00:00,19.1,Чермоз
105820,2014-08-04 08:00:00,18.3,Чермоз
105821,2014-08-03 08:00:00,15.3,Чермоз
105822,2014-08-02 08:00:00,12.6,Чермоз
105823,2014-08-01 08:00:00,12.7,Чермоз
105824,2014-07-31 08:00:00,16.7,Чермоз
105825,2014-07-30 08:00:00,16.0,Чермоз
105826,2014-07-29 08:00:00,12.3,Чермоз
105827,2014-07-28 08:00:00,9.0,Чермоз
105828,2014-07-27 08:00:00,8.8,Чермоз
105829,2014-07-26 08:00:00,8.7,Чермоз
105830,2014-07-25 08:00:00,7.0,Чермоз
105831,2014-07-24 08:00:00,11.9,Чермоз
105832,2014-07-23 08:00:00,15.5,Чермоз
105833,2014-07-22 08:00:00,13.5,Чермоз
105834,2014-07-21 08:00:00,11.6,Чермоз
105835,2014-07-20 08:00:00,7.9,Чермоз
105836,2014-07-19 08:00:00,8.6,Чермоз
105837,2014-07-18 08:00:00,9.2,Чермоз
105838,2014-07-17 08:00:00,9.6,Чермоз
105839,2014-07-16 08:00:00,16.8,Чермоз
105840,2014-07-15 08:00:00,13.5,Чермоз
105841,2014-07-14 08:00:00,14.2,Чермоз
105842,2014-07-13 08:00:00,11.2,Чермоз
105843,2014-07-12 08:00:00,5.7,Чермоз
105844,2014-07-11 08:00:00,10.5,Чермоз
105845,2014-07-10 08:00:00,10.5,Чермоз
105846,2014-07-09 08:00:00,15.5,Чермоз
105847,2014-07-08 08:00:00,11.8,Чермоз
105848,2014-07-07 08:00:00,17.4,Чермоз
105849,2014-07-06 08:00:00,16.2,Чермоз
105850,2014-07-05 08:00:00,18.2,Чермоз
105851,2014-07-04 08:00:00,19.9,Чермоз
105852,2014-07-03 08:00:00,16.7,Чермоз
105853,2014-07-02 08:00:00,14.8,Чермоз
105854,2014-07-01 08:00:00,12.4,Чермоз
